createTime|dependencyTime|investorId|companyId|ratio
1669690605907|1665645482046|15393162789064|14293651161421|0.183340342223683
1669699230221|1653085849752|24189255811125|3298534883722|0.3340962506647159
1669711785782|1668182603629|13194139533762|14293651161171|0.06148172389234238
1669716492557|1641755724870|19791209300285|9895604650082|0.19972182907721525
1669746928483|1668432841172|28587302322691|8796093022211|0.14781171687877329
1669759066915|1665181501889|4398046511890|14293651161423|0.01996077031967502
1669770856667|1669735290506|13194139533370|15393162788918|0.3273674612686708
1669785717366|1665471809746|10995116277985|14293651161289|0.7651641312714683
1669794719738|1637402037712|44|9895604650341|0.08534017581191305
1669823377511|1667032803563|28587302322592|9895604650271|0.16613950258675408
1669829623358|1667685764163|28587302322445|5497558139019|0.12186123017652427
1669835877870|1664465540607|28587302322699|1099511628070|0.09757474554024541
1669842007591|1664734070128|10995116277834|14293651161270|0.32833257446558284
1669851678549|1659270178787|26388279066730|1099511627847|0.24942444960309132
1669872346796|1611266777005|4398046511725|5497558139002|0.22632551149670313
1669893708593|1636884479388|19791209300432|3298534883698|0.049874714141642
1669911140570|1665639726086|28587302322459|5497558138926|0.08066889190228536
1669934186603|1647570625666|21990232555962|6597069766933|0.007501630029351021
1669938624702|1657683820397|4398046511258|13194139533450|0.5354731522687991
1669957142544|1620738543067|4398046511120|6597069766947|0.1292067675067683
1669963531284|1667439310160|28587302322566|5497558138886|0.21223021498661
1669965916912|1668647754105|15393162789327|14293651161172|0.25311155718147005
1669995784011|1661396338601|6597069767131|13194139533312|0.10634332351417397
1669998337890|1642028483368|6597069767055|9895604650136|0.275797782438792
1670010128357|1645166183831|21990232555584|8796093022276|0.032561979002642114
1670011542216|1668878351608|21990232555743|14293651161291|0.01743518581792784
1670022820081|1604207823808|4398046511760|4398046511249|0.25543294605115774
1670026719629|1668395318781|28587302322863|14293651161270|0.06948786019566627
1670035773651|1631293907802|17592186044645|4398046511157|0.1302347588650556
1670068895306|1650866479641|2199023256309|12094627905903|0.1327949928435761
1670079203237|1667101566091|28587302322665|7696581394807|0.011396775499819227
1670100894496|1653279321396|24189255811767|7696581394552|0.08126036315396393
1670133946016|1666977342127|28587302322515|12094627905746|0.10160816373674664
1670136796021|1666700378102|28587302322936|7696581394539|0.1623224656638377
1670138096739|1650536087121|2199023255866|12094627905750|0.014439399423633651
1670142858686|1658960998055|26388279066796|12094627905931|0.20377383755344675
1670149774943|1668660810757|10995116278183|14293651161356|0.07751808614996662
1670154051748|1667685764163|28587302322445|7696581394775|0.10989077885845369
1670158908719|1668878351608|6597069767360|14293651161291|0.15321631256398377
1670169632751|1655008288896|24189255811870|6597069766850|0.2834296312388276
1670175924636|1665410880329|28587302322889|5497558139179|0.13479287896289377
1670185778092|1626528135427|10995116278363|7696581394436|0.42290315107133153
1670194439455|1668570275599|28587302322245|10995116278035|0.3389734765184558
1670212244721|1659990131936|26388279066759|12094627905696|0.02443621587093644
1670223167367|1661482535424|26388279066767|6597069766819|0.09287524770742987
1670250619783|1620415875714|10995116278168|6597069766845|0.10970958275405937
1670259177166|1668961950682|28587302322408|7696581394436|0.09898230500257837
1670259748927|1665471809746|21990232555848|14293651161289|0.17190783642045904
1670279997381|1662128348837|26388279067416|4398046511115|0.2640353523086488
1670284166455|1669158882951|28587302322347|14293651161450|0.1361795816473651
1670289874139|1665252687368|28587302322496|7696581394469|0.14857101226580263
1670305879357|1668995288951|28587302322489|6597069766826|0.008201681220313523
1670316247411|1659375346327|6597069767428|13194139533384|0.12745584327493403
1670316635115|1663390066434|28587302322855|10995116277768|0.23764087010650742
1670331172273|1646728203577|17592186044575|10995116278026|0.3124663671726012
1670343017296|1668728884527|28587302322521|8796093022419|0.0967045202958528
1670349565568|1670232656183|30786325578280|13194139533646|0.1933897339829819
1670372690391|1665181501889|24189255811870|14293651161423|0.0041326794781074054
1670381129697|1665934974377|28587302322571|5497558139133|0.04455397831116641
1670382729344|1616624822566|2199023255844|5497558139067|0.01219716348866506
1670408394319|1669158882951|28587302322347|2199023255702|0.11553636703781148
1670443288503|1665934974377|28587302322571|3298534883699|0.18611397627625437
1670444455858|1624307806572|15393162789118|4398046511451|0.5255029708042357
1670446839685|1669531079036|30786325578421|10995116277790|0.2793167682416171
1670456813723|1668570275599|28587302322245|8796093022473|0.042344232867503905
1670466815170|1644736076960|21990232555685|10995116277939|0.13028732827377965
1670478933465|1667911767495|19791209300528|14293651161294|0.09826493898193327
1670500220765|1660022638793|26388279066716|1099511628134|0.11238120906016527
1670501954730|1670481981883|28587302322328|15393162788912|0.23705922460111922
1670518024771|1643539328230|4398046511738|10995116277939|0.07891865352920287
1670519415256|1613112877024|6597069766710|5497558139028|0.031018076590458334
1670519774719|1668182603629|21990232555601|14293651161171|0.024230383289282703
1670521041943|1662397293358|26388279066949|9895604650315|0.16984870506205216
1670521719051|1660828081185|26388279066733|9895604650315|0.05128062200736256
1670530193301|1667447129959|28587302322663|6597069766871|0.19106869176550056
1670541166790|1635047238260|6597069766911|8796093022320|0.436061095583313
1670566207285|1667634016408|28587302322737|9895604650141|0.23943040319259737
1670571152888|1665183594156|684|14293651161116|0.1933705030447512
1670572880613|1661114884799|26388279066752|1099511627834|0.1965367313968824
1670589609272|1659375346327|250|13194139533384|0.0696624482865742
1670595821829|1660471991709|26388279067407|23|0.2259180436978037
1670597809901|1646369023048|21990232555848|10995116277790|0.2591642405104474
1670618378878|1670232656183|30786325578280|3298534883649|0.11741622510686088
1670623726685|1646456330493|21990232555772|7696581394831|0.06661126609121838
1670631757484|1664443821229|28587302322247|8796093022294|0.019616231309036915
1670652167725|1670481981883|646|15393162788912|0.2802310595947959
1670694595183|1611763726160|10995116277884|4398046511309|0.3505904696032209
1670695364706|1667061690236|2199023256212|14293651161315|0.3324450594445529
1670698690694|1648723319502|21990232555853|393|0.15090076114342485
1670703684067|1670425832410|26388279066767|15393162789077|0.15304956230782396
1670708394268|1634234068579|2199023256133|8796093022228|0.1595529013362476
1670714415088|1664595471097|28587302322203|9895604650271|0.16997399224105922
1670717524061|1664577075769|28587302322722|8796093022419|0.11794647184422978
1670723017484|1596467967392|4398046511274|2199023255848|0.15437941922802728
1670725447591|1634898721007|17592186044598|2199023255948|0.31864944219718944
1670726635092|1666700378102|28587302322936|7696581394815|0.23180904994390897
1670731545282|1668980252514|21990232555584|14293651161204|0.09094853607890323
1670738600590|1647098499273|21990232555660|2199023255833|0.1413832669364069
1670754586654|1624890999072|6597069766679|7696581394775|0.21173368430385392
1670768460382|1669794979056|30786325577996|5497558139205|0.1876906213604486
1670768589140|1646728203577|4398046511113|10995116278026|0.20186548878442445
1670782016110|1664425192469|17592186045087|14293651161368|0.19759953320800064
1670807251418|1661861673314|19791209300327|13194139533439|0.10778280929230911
1670835672296|1658192460414|24189255811665|13194139533617|0.29058001364519737
1670845253803|1667061690236|13194139533361|14293651161315|0.21017062596121433
1670873126101|1667032803563|28587302322592|4398046511436|0.07086552646654733
1670873432843|1661376688026|21990232555616|13194139533459|0.1974424476142735
1670880232478|1665678155935|28587302322416|6597069766933|0.007805932579551186
1670885944672|1650104324514|24189255811803|6597069767004|0.07555076370616465
1670898900472|1667184741624|17592186044615|14293651161180|0.07822496390001825
1670909219629|1639600727830|17592186045014|9895604650231|0.1859149537521428
1670911614212|1670425832410|15393162789333|15393162789077|0.1291860006137633
1670913397842|1660551628263|26388279066981|4398046511309|0.027234384459166268
1670913478165|1668172699694|28587302322411|6597069766929|0.0549676769752471
1670915944396|1655221829619|19791209300478|12094627905834|0.12178044699478485
1670941011968|1668520628882|28587302322628|342|0.13262166068050693
1670958906368|1662294859118|26388279066958|3298534883512|0.04330131064937393
1670962957271|1660828081185|26388279066733|2199023255711|0.20365551161635703
1670973309877|1665181501889|19791209300727|14293651161423|0.07218925907082153
1670975983714|1645247202540|21990232556265|5497558139031|0.16704275102312396
1670978575102|1668980252514|21990232556020|14293651161204|0.184880911239926
1670989549713|1661449965282|26388279067421|4398046511433|0.1899049028838375
