deleteTime|dependentDate|accountId
1669855342281|1643479705902|213639507323388069
1669944380740|1665929640380|4898227544718836934
1669960088470|1665192248297|4895975744905150766
1669967404981|1668637146689|4906953268996867573
1669972627776|1647852929672|4839399274586309299
1670014002154|1661870765484|4884998220813436529
1670019556206|1668550365184|4906671794020156965
1670067718962|1667123858960|4902168194392785758
1670091815867|1661051601610|4882464946023039233
1670171250374|1669174740307|297237575406453509
1670175656484|1669629131185|298644950290006724
1670181147369|1669899508272|4911175393647526595
1670210423072|1668559414391|4906953268996866106
1670233735899|1667979344128|4904982944159892955
1670269432765|1670049522925|4911738343600947955
1670306206809|1668185481165|4905545894113313497
1670317604135|1664765578575|4894568370021598935
1670412866074|1670138203420|4912019818577658491
1670426950779|1643659627237|4825888475704197453
1670439087533|1659924862658|4878805771325800976
1670506163964|1667791494164|4904419994206471190
1670507444310|1647920895148|4839680749563020213
1670554895945|1662011431049|273875152339468535
1670585333532|1667126837123|4902168194392785368
1670699958418|1655738041213|4865013497466979881
1670707772570|1668174997776|4905545894113312899
1670761578625|1646378541244|4834614199982227624
1670778580070|1619833612195|136515363704668647
1670832357347|1670604819868|301741175033823939
1670839569971|1665544636130|285415626384605966
1670858591132|1665289813534|4896257219881861496
1670878055074|1668456263956|294704300616057420
1670886457458|1670702414325|4913708668437922768
1670996307148|1669600434078|298644950290006017
1671018994427|1669642476703|4910330968717393921
1671056151885|1664008549955|280349076803813461
1671097025674|1670130315040|4912019818577659061
1671103007597|1670767555950|4913990143414632825
1671134712700|1666748524190|4901042294485943054
1671163897593|1608493844173|4711328160182960885
1671210048953|1670480316960|301459700057112698
1671218168091|1671073097975|303430024894087509
1671245440057|1664750359964|282882351594209808
1671252034253|1670549299144|4913427193461212159
1671274176984|1653929038574|247416504528666792
1671277929816|1663869678708|279786126850392328
1671282905111|1670568410278|4913427193461212410
1671293980130|1669219894024|297237575406453008
1671321483987|1659350105950|4876835446488826021
1671360708867|1666488113404|4900197869555811874
1671360938100|1671170533435|303711499870798459
1671386936883|1656469398114|4867546772257375499
1671395430326|1622111266963|4755519731526533134
1671446100504|1670383594257|4912864243507791391
1671459506132|1670436528545|301178225080402240
1671479321428|1662851845851|276689902106575694
1671489542694|1665675466771|285697101361316657
1671512231975|1670021929338|4911456868624238062
1671527981337|1668542395610|4906671794020157159
1671538654684|1671310590275|303992974847509200
1671574197891|1666225608589|4899353444625679153
1671600458826|1670561377199|301741175033823951
1671603537171|1665317814294|284571201454473552
1671611628399|1671456460374|304555924800930244
1671639519469|1671469494918|4916241943228318364
1671699847101|1635602005577|187743809466007566
1671716473824|1670385159065|4912864243507790090
1671735004548|1671351214637|4915960468251607746
1671740677628|1664846646834|283163826570920627
1671748776747|1668790474621|295830200522899713
1671755365700|1668850303819|4907797693926999121
1671770502838|1668812546903|4907516218950287375
1671771151231|1671683739793|305400349731062403
1671779781096|1670267006493|300615275126980715
1671818132560|1671046776840|4914834568344764433
1671824286916|1671671590427|305400349731062428
1671844952614|1671461536829|4916241943228318718
1671859711302|1641038182277|205476732998779637
1671880138197|1670557865617|4913427193461211243
1671884713655|1669031848162|4908360643880419575
1671895137621|1626645641852|4770437905292199446
1671955633829|1671654251978|305118874754351810
1671962969161|1669731554401|298926425266716687
1671986922374|1671377702158|304274449824219153
1672033243585|1669037684190|4908360643880419592
1672044348933|1671071498028|303430024894087470
1672087637971|1671994212845|4917930793088581778
1672090563835|1669059510053|4908360643880419664
1672101538469|1671966891532|306244774661194179
1672103182354|1659596311670|4877679871418958311
1672137257811|1670680487669|302022650010534310
1672144849095|1657967903455|4872331846861455420
1672156045518|1671539666308|4916523418205028940
1672157109120|1656658440825|4868109722210796905
1672181313682|1672037868064|4918212268065294000
1672189710960|1669249568829|4909205068810551867
1672218421661|1667049216783|4901886719416075761
1672259676335|1669904218085|299489375220138555
1672297287075|1665373483776|284852676431183942
1672316570865|1671156074977|4915397518298187189
1672318528123|1670554243014|4913427193461211943
1672340240529|1671649110558|305118874754351207
1672364348110|1670633623261|4913708668437922053
1672364681993|1670926184027|4914553093368054606
1672391714948|1671745006916|305400349731062006
1672392713944|1667255609869|290763650942107708
1672403833962|1671062242067|303430024894087429
1672420667427|1672037369883|4918212268065293371
1672433587930|1669493933518|4909768018763972678
1672447929940|1669978432191|4911456868624238133
1672463262567|1671110893319|4915116043321475930
1672480331940|1672375090334|307652149544747512
1672484350799|1672266856865|4918775218018714766
1672487007793|1671577115175|304837399777641306
1672495177189|1672124573474|306807724614615847
1672496180288|1672269106967|4918775218018713846
