operation_type|execution_duration_MICROSECONDS|result_code|original_start_time

ComplexRead1|12183873|0|20000000
ComplexRead1|9370392|0|30000000
ComplexRead1|11957760|0|40000000
ComplexRead2|15303384|81|20000000
ComplexRead2|19892962|18|30000000
ComplexRead2|16535732|1|40000000
ComplexRead3|16326709|1|20000000
ComplexRead3|20985593|1|30000000
ComplexRead3|17004006|1|40000000
ComplexRead4|11821084|0|20000000
ComplexRead4|8451779|0|30000000
ComplexRead4|9734633|0|40000000
ComplexRead5|12232121|8|20000000
ComplexRead5|11207373|17|30000000
ComplexRead5|15286791|11|40000000
ComplexRead6|9882984|0|20000000
ComplexRead6|7085542|0|30000000
ComplexRead6|9709387|0|40000000
ComplexRead7|11760957|1|20000000
ComplexRead7|7200975|1|30000000
ComplexRead7|9758834|1|40000000
ComplexRead8|16173566|251|20000000
ComplexRead8|15924941|191|30000000
ComplexRead8|18907136|188|40000000
ComplexRead9|14913509|1|20000000
ComplexRead9|16069941|1|30000000
ComplexRead9|16237757|1|40000000
ComplexRead10|10033451|1|20000000
ComplexRead10|7417946|1|30000000
ComplexRead10|7946613|1|40000000
ComplexRead11|9910788|1|20000000
ComplexRead11|7172552|1|30000000
ComplexRead11|15560674|1|40000000
ComplexRead12|9849096|0|20000000
ComplexRead12|7145501|1|30000000
ComplexRead12|9878474|1|40000000
SimpleRead1|9636339|1|-1
SimpleRead1|7792350|1|-1
SimpleRead1|13569099|1|-1
SimpleRead1|7000159|1|-1
SimpleRead1|5459272|1|-1
SimpleRead2|7118214|1|-1
SimpleRead2|7074751|1|-1
SimpleRead2|9957992|1|-1
SimpleRead2|9727771|1|-1
SimpleRead2|9849520|1|-1
SimpleRead3|10249395|1|-1
SimpleRead3|10041988|1|-1
SimpleRead3|7057135|1|-1
SimpleRead3|6937319|1|-1
SimpleRead3|13526446|1|-1
SimpleRead4|7115715|5|-1
SimpleRead4|7069231|5|-1
SimpleRead4|9963523|4|-1
SimpleRead4|11402045|3|-1
SimpleRead4|10072107|4|-1
SimpleRead5|11683257|4|-1
SimpleRead5|9708890|2|-1
SimpleRead5|8506967|8|-1
SimpleRead5|7029785|3|-1
SimpleRead5|8390938|2|-1
SimpleRead6|7029709|4|-1
SimpleRead6|8646620|2|-1
SimpleRead6|9846582|0|-1
SimpleRead6|9734890|0|-1
SimpleRead6|9707000|0|-1
