operation_type|execution_duration_MICROSECONDS|result_code|original_start_time

ComplexRead1|57012346|0|20000000
ComplexRead1|49006913|0|30000000
ComplexRead1|58611137|0|40000000
ComplexRead2|93488556|75|30000000
ComplexRead2|91120807|60|40000000
ComplexRead2|93723972|13|20000000
ComplexRead3|25927610|1|20000000
ComplexRead3|26781606|1|30000000
ComplexRead3|22531595|1|40000000
ComplexRead4|19812832|0|20000000
ComplexRead4|20034984|0|30000000
ComplexRead4|19991581|0|40000000
ComplexRead5|61461644|19|20000000
ComplexRead5|62413495|74|30000000
ComplexRead5|67568118|15|40000000
ComplexRead6|21850226|0|20000000
ComplexRead6|21912524|0|30000000
ComplexRead6|21805415|0|40000000
ComplexRead7|25935367|1|20000000
ComplexRead7|25807630|1|30000000
ComplexRead7|28249055|1|40000000
ComplexRead8|115328996|326|20000000
ComplexRead8|105786134|0|30000000
ComplexRead8|128340030|271|40000000
ComplexRead9|38264210|1|20000000
ComplexRead9|38185952|1|30000000
ComplexRead9|42056058|1|40000000
ComplexRead10|13613264|1|20000000
ComplexRead10|14189785|1|30000000
ComplexRead10|13943842|1|40000000
ComplexRead11|22214836|1|20000000
ComplexRead11|27846025|1|30000000
ComplexRead11|21828228|1|40000000
ComplexRead12|19897439|0|20000000
ComplexRead12|19973066|2|30000000
ComplexRead12|19932032|1|40000000
SimpleRead1|12468735|1|-1
SimpleRead1|9720126|1|-1
SimpleRead1|9490239|1|-1
SimpleRead1|11566619|1|-1
SimpleRead1|9828022|1|-1
SimpleRead2|20641521|1|-1
SimpleRead2|17420296|1|-1
SimpleRead2|22332639|1|-1
SimpleRead2|17129234|1|-1
SimpleRead2|15698335|1|-1
SimpleRead3|17910392|1|-1
SimpleRead3|18433636|1|-1
SimpleRead3|17865175|1|-1
SimpleRead3|17728213|1|-1
SimpleRead3|17756720|1|-1
SimpleRead4|17903843|7|-1
SimpleRead4|17917024|3|-1
SimpleRead4|17742078|2|-1
SimpleRead4|17825899|4|-1
SimpleRead4|17849819|2|-1
SimpleRead5|17939527|0|-1
SimpleRead5|17899861|0|-1
SimpleRead5|17892386|5|-1
SimpleRead5|18017250|12|-1
SimpleRead5|17877539|5|-1
SimpleRead6|19834433|0|-1
SimpleRead6|19618391|1|-1
SimpleRead6|17952077|15|-1
SimpleRead6|19905011|0|-1
SimpleRead6|17889313|1|-1
