mediumId|mediumType|isBlocked|createTime|lastLoginTime|riskLevel
3733|RFID|false|2020-01-01 01:20:34.532|1649521106474|Critical risk
4733|IPv4|false|2020-01-01 01:53:33.608|1610413385273|Severe risk
9887|IPv6|false|2020-01-01 02:18:33.54|1596878084115|High risk
5963|PHONE|false|2020-01-01 03:18:09.436|1636682800485|Significant risk
1515|QRCode|false|2020-01-01 05:40:20.583|1603661251764|Significant risk
4582|ATM|false|2020-01-01 11:03:42.33|1582264776236|Extreme risk
6971|PHONE|false|2020-01-01 12:59:39.267|1647188398308|Minimal risk
356|PHONE|false|2020-01-01 13:44:29.852|1656275376736|Moderate risk
2059|RFID|false|2020-01-01 15:34:44.515|1606282877116|Significant risk
5364|RFID|false|2020-01-01 23:49:12.911|1629238405938|Moderate risk
6021|RFID|false|2020-01-02 11:29:33.21|1656705851831|High risk
4367|MAC|false|2020-01-02 11:42:11.234|1648622260930|Significant risk
1617|IPv6|false|2020-01-02 13:19:22.302|1660694796329|Minimal risk
1012|PHONE|false|2020-01-02 19:58:29.733|1584433142536|Minimal risk
8500|ATM|false|2020-01-02 20:59:46.622|1640191307805|Moderate risk
3227|RFID|false|2020-01-03 03:40:33.792|1635154312901|Very high risk
7602|MAC|false|2020-01-03 06:32:30.899|1638666439923|Critical risk
7319|ATM|false|2020-01-03 07:37:13.74|1670190000138|High risk
1772|MAC|false|2020-01-03 07:55:46.691|1634419311013|High risk
8842|ATM|false|2020-01-03 08:28:49.737|1670854901146|Low risk
2508|ATM|false|2020-01-03 10:09:08.75|1599307404093|Low risk
6510|MAC|false|2020-01-03 10:17:17.554|1671228141189|Severe risk
3516|MAC|false|2020-01-03 12:07:13.835|1642188467737|Severe risk
3782|IPv4|false|2020-01-03 14:52:27.531|1585042337437|Severe risk
7113|IPv4|false|2020-01-03 15:34:32.167|1602252434194|Critical risk
367|NFC|false|2020-01-03 20:28:17.097|1594313070020|Very high risk
5282|ATM|false|2020-01-04 03:57:30.643|1608097337233|Minimal risk
1810|QRCode|false|2020-01-04 17:00:11.746|1641116405458|High risk
9394|IPv6|false|2020-01-04 22:16:56.976|1642966666540|Very high risk
7644|MAC|false|2020-01-04 23:22:25.747|1651211495800|Low risk
474|IPv4|false|2020-01-05 06:19:10.597|1605429285431|Significant risk
4350|WIFI|false|2020-01-05 08:12:35.717|1669144068424|Extreme risk
1324|POS|false|2020-01-05 08:16:24.877|1579311321165|Extreme risk
1871|POS|false|2020-01-05 12:51:26.032|1596088739719|Extreme risk
7662|WIFI|false|2020-01-05 13:54:57.936|1624437837015|Critical risk
9599|IPv4|false|2020-01-05 15:10:10.894|1627475719359|Low risk
4918|ATM|false|2020-01-05 16:12:39.463|1603076177806|High risk
5143|WIFI|false|2020-01-05 19:39:32.069|1618951645303|Low risk
3105|IPv6|false|2020-01-06 01:11:15.204|1599639997462|Low risk
7230|ATM|false|2020-01-06 01:19:57.072|1645331663331|Very high risk
4778|RFID|false|2020-01-06 01:40:55.667|1619216994641|Very high risk
