companyId|loanId|createTime|org
3792|1970324836979625|2020-01-08 11:36:58.802|Marcus by Goldman Sachs
2381|12103423998561450|2020-02-13 15:20:09.634|RealtyMogul
1004|14918173765666141|2020-02-23 13:34:09.759|OneMain Financial
534|14918173765665479|2020-02-23 21:27:20.559|OneMain Financial
2723|15199648742379118|2020-02-24 16:17:08.86|LendingClub
1436|16325548649220038|2020-02-28 17:41:44.622|Prosper
1126|16607023625930228|2020-02-29 17:31:42.944|Chase Bank
1266|18295873486194380|2020-03-07 01:03:04.25|Earnest
3697|18858823439618869|2020-03-09 00:28:52.637|Peerform
3793|19421773393040300|2020-03-10 03:54:48.918|RealtyMogul
2675|19703248369749546|2020-03-11 11:56:30.52|US Bank
3268|21673573206724901|2020-03-18 23:48:25.166|Funding Circle
29|23080948090273828|2020-03-23 19:03:05.567|State Farm Bank
3513|23925373020410459|2020-03-26 07:05:37.256|Fundbox
3333|24488322973831546|2020-03-28 05:57:44.249|American Express
678|24769797950538634|2020-03-29 04:12:49.458|Discover
1039|26740122787513742|2020-04-05 15:07:21.835|Roofstock
3351|27584547717648795|2020-04-08 05:56:28.076|Capital One
901|27584547717645517|2020-04-08 12:25:45.723|Best Egg
1099511629166|28428972647778183|2020-04-11 19:15:11.755|OneMain Financial
2292|28710447624490043|2020-04-12 07:04:50.146|Chase Bank
3847|28710447624492025|2020-04-12 23:51:27.416|Discover
1099511631716|29273397577913472|2020-04-14 11:05:21.166|BlueVine
1358|30117822508042071|2020-04-17 07:57:22.739|Fundbox
2126|30399297484753756|2020-04-18 20:39:37.566|LightStream
1099511630786|32369622321729476|2020-04-25 21:16:51.22|Bank of America
1099511629060|32932572275148520|2020-04-27 15:01:52.039|Upstart
3068|34058472181993487|2020-05-01 05:27:06.546|Bank of America
3540|34621422135415422|2020-05-03 04:02:47.754|Citibank
2906|34621422135414597|2020-05-03 06:26:54.535|American Express
1665|35465847065544946|2020-05-06 18:31:07.159|State Farm Bank
1099511627777|36310271995674626|2020-05-09 14:11:12.092|PNC Bank
43|36310271995674689|2020-05-09 21:11:49.05|Earnest
1099511628799|37154696925807986|2020-05-12 08:32:46.72|Marcus by Goldman Sachs
1099511630768|37999121855942571|2020-05-15 10:24:01.995|Patch of Land
1099511629499|37999121855940928|2020-05-15 21:10:02.512|Funding Circle
2292|38280596832652348|2020-05-16 19:01:54.58|LightStream
2381|38843546786073769|2020-05-18 17:53:22.524|Chase Bank
3756|39969446692918141|2020-05-22 12:39:41.499|Roofstock
960|39969446692914457|2020-05-22 21:31:50.352|Bank of America
1099511628000|40813871623045419|2020-05-25 10:20:29.381|RealtyMogul
1099511630408|41376821576469994|2020-05-27 12:34:10.98|Earnest
2862|41658296553180948|2020-05-28 07:58:33.546|SoFi
1099511628517|41658296553178095|2020-05-28 10:59:48.616|Capital One
1099511631307|42784196460024433|2020-06-01 11:11:15.31|Patch of Land
1099511628725|43347146413442318|2020-06-03 18:51:27.667|Fundbox
1099511631595|43628621390156755|2020-06-04 04:56:53.728|Upgrade
1099511628992|43628621390153347|2020-06-04 18:57:17.731|Capital One
2675|43628621390155308|2020-06-05 03:21:01.461|TD Bank
2292|43910096366865465|2020-06-05 23:53:10.611|SunTrust
1099511631025|44191571343577353|2020-06-06 05:20:27.904|Chase Bank
93|45035996273705071|2020-06-09 14:48:23.534|American Express
1099511629241|45598946227128298|2020-06-11 16:28:50.311|SoFi
1099511630310|45598946227129709|2020-06-11 19:37:56.565|LightStream
2199023259192|46443371157263094|2020-06-14 17:45:03.42|Best Egg
1099511628219|46724846133969475|2020-06-15 13:19:52.252|Earnest
1099511629468|48132221017524500|2020-06-20 13:21:54.737|Kabbage
2199023256696|48413695994234381|2020-06-21 09:53:05.202|Chase Bank
2199023256958|48413695994234786|2020-06-21 18:45:15.878|Chase Bank
1099511628983|48695170970945141|2020-06-22 09:26:55.081|Upgrade
1099511630011|48695170970946544|2020-06-22 20:41:04.769|Chase Bank
2199023258081|49258120924368234|2020-06-24 21:40:10.612|OnDeck
