fromId|toId|createTime|relation
1581|3888|2020-02-16 21:42:11.798|business associate
3669|1099511627918|2020-04-29 00:30:34.485|business associate
2817|23|2020-05-01 09:23:26.199|business associate
615|534|2020-05-29 20:24:40.651|business associate
1099511628194|2088|2020-06-29 05:31:20.403|business associate
2199023258104|2199023257522|2020-07-01 14:56:22.116|business associate
1099511629858|1322|2020-07-25 22:27:14.177|business associate
1099511629950|2199023256613|2020-08-12 01:58:12.756|business associate
2199023256419|2020|2020-08-13 15:50:43.541|business associate
2199023259046|1099511631589|2020-08-14 12:34:20.858|business associate
1099511630065|2199023256254|2020-08-20 19:50:14.557|business associate
1099511628603|1099511628236|2020-08-26 00:39:48.139|business associate
2199023257956|2512|2020-08-27 20:58:25.182|business associate
2199023256695|2199023258717|2020-09-04 17:41:49.338|business associate
3298534887275|1099511628886|2020-09-17 16:40:38.145|business associate
2199023258123|336|2020-09-19 08:24:39.869|business associate
1099511630340|2199023257357|2020-09-24 16:08:34.466|business associate
1099511628194|3298534884097|2020-09-27 07:10:34.931|business associate
100|1099511628894|2020-10-11 00:13:14.625|business associate
3298534883523|3298534883614|2020-10-21 03:41:04.12|business associate
2199023258481|3429|2020-10-26 23:38:43.963|business associate
3298534884005|3298534884344|2020-10-29 06:47:05.025|business associate
3449|2199023255649|2020-10-29 20:58:38.354|business associate
2199023256817|1099511628006|2020-10-31 14:53:55.869|business associate
2199023257498|2199023255848|2020-11-01 00:30:20.885|business associate
2199023258515|2199023255957|2020-11-01 18:21:30.474|business associate
2199023258105|365|2020-11-06 22:28:03.019|business associate
2199023258432|2199023257729|2020-11-08 16:10:59.005|business associate
1066|2199023256523|2020-11-12 03:15:20.461|business associate
3298534884911|3298534885186|2020-12-09 19:11:38.831|business associate
3298534884411|1099511630030|2020-12-10 12:51:33.491|business associate
3298534884682|3298534885942|2020-12-11 02:42:04.182|business associate
2166|3298534884523|2020-12-16 03:01:05.561|business associate
2199023259207|1099511628330|2020-12-28 03:07:58.123|business associate
1099511630412|2199023257987|2020-12-31 12:41:27.955|business associate
1099511628351|3298534886712|2021-01-04 20:58:14.942|business associate
2585|4398046514036|2021-01-05 22:21:23.315|business associate
3298534883649|1469|2021-01-10 13:47:09.93|business associate
1003|2199023257776|2021-01-14 10:20:12.796|business associate
1099511630768|2299|2021-01-14 15:58:05.842|business associate
4398046514394|3298534884917|2021-01-16 00:06:00.275|business associate
1099511628601|4398046513961|2021-01-16 05:59:45.738|business associate
2199023256070|4398046514922|2021-01-16 07:40:19.539|business associate
2199023256888|3163|2021-01-17 17:00:43.401|business associate
3298534885757|1099511627887|2021-01-20 13:03:28.111|business associate
5497558141262|5497558142110|2021-01-23 09:56:05.81|business associate
4398046515035|1099511629394|2021-01-31 06:37:46.713|business associate
4398046512695|3298534886460|2021-01-31 11:46:45.663|business associate
1099511628725|4398046511137|2021-02-04 07:11:07.007|business associate
1099511628749|4398046511285|2021-02-05 02:55:40.347|business associate
4398046513469|2199023258466|2021-02-07 08:07:25.178|business associate
4398046514434|1333|2021-02-10 22:45:56.491|business associate
1099511628148|2199023256254|2021-02-11 05:40:56.923|business associate
3298534884105|1375|2021-02-11 08:56:13.147|business associate
1099511631129|4398046512676|2021-02-13 04:10:05.636|business associate
2199023256433|3298534886557|2021-02-13 22:11:26.607|business associate
3298534886436|3298534884804|2021-02-16 21:08:25.695|business associate
2199023258276|5497558141346|2021-02-18 10:47:44.898|business associate
2199023256327|5497558139136|2021-02-18 18:30:03.759|business associate
2199023255889|3298534884917|2021-02-21 23:41:46.901|business associate
2199023255588|5497558141267|2021-02-22 08:36:28.254|business associate
3298534885861|4398046512646|2021-02-24 05:11:14.826|business associate
1099511631410|1099511629146|2021-02-25 03:35:07.563|business associate
4398046512753|5497558140307|2021-03-05 12:51:15.604|business associate
3298534883628|4398046514816|2021-03-06 05:35:14.653|business associate
4398046514183|1177|2021-03-09 21:54:08.345|business associate
3298534885079|5497558140281|2021-03-12 02:35:27.326|business associate
2199023255578|3298534884216|2021-03-14 02:49:39.488|business associate
2199023256531|5497558140516|2021-03-15 16:35:33.611|business associate
3068|1099511628292|2021-03-15 21:35:54.082|business associate
4398046512898|2199023259058|2021-03-16 11:00:25.766|business associate
3298534885411|4398046513469|2021-03-20 03:31:38.826|business associate
1099511631482|3298534887237|2021-03-22 23:18:58.65|business associate
2199023256181|5497558141257|2021-03-25 02:11:47.271|business associate
2199023256541|2199023256020|2021-03-26 02:24:50.247|business associate
4398046511673|2020|2021-03-26 09:26:00.853|business associate
4398046514367|5497558140988|2021-03-31 04:40:09.596|business associate
5497558139356|4398046512104|2021-04-04 07:51:38.229|business associate
4398046514367|1533|2021-04-05 05:04:06.868|business associate
3298534886621|3298534885046|2021-04-07 16:34:12.513|business associate
4398046513307|3298534883932|2021-04-09 06:00:56.1|business associate
