companyId|accountId|createTime
2051|4503599627375007|2020-01-17 13:52:08.437
3977|4785074604089905|2020-01-18 09:37:41.782
3470|5629499534220764|2020-01-21 10:09:33.475
1769|5629499534216980|2020-01-21 10:25:09.617
3393|7318349394484521|2020-01-27 11:08:06.016
3381|10414574138301714|2020-02-07 19:23:47.091
506|12947848928691283|2020-02-16 07:06:04.969
3735|13229323905409047|2020-02-17 10:44:43.527
3158|13792273858829076|2020-02-20 00:33:17.991
1482|15481123719089289|2020-02-25 04:02:53.59
2715|16044073672513368|2020-02-27 08:03:59.739
616|16044073672508720|2020-02-27 19:18:22.439
1382|16325548649221042|2020-02-28 09:40:21.284
192|16607023625929101|2020-02-29 08:49:53.902
1276|17732923532774083|2020-03-04 03:40:20.675
550|18858823439615137|2020-03-08 09:23:13.255
3737|19421773393043483|2020-03-10 05:42:26.156
2766|21110623253305294|2020-03-16 04:18:33.543
1437|21673573206723627|2020-03-18 05:24:37.788
602|21673573206721810|2020-03-18 08:14:38.886
3855|21673573206728990|2020-03-18 14:11:55.045
2775|21955048183437284|2020-03-19 05:36:11.788
2459|21955048183436604|2020-03-19 15:29:44.343
1272|22236523160144570|2020-03-20 18:15:17.638
100|22517998136852699|2020-03-21 15:25:34.327
3014|22517998136859092|2020-03-21 23:48:09.044
1842|23362423066988482|2020-03-24 10:28:03.293
2281|23925373020410778|2020-03-26 20:43:48.267
773|24206847997118068|2020-03-27 22:18:32.499
3422|24769797950545256|2020-03-29 17:50:06.187
1126|25051272927250826|2020-03-30 20:52:30.964
599|26740122787513610|2020-04-05 05:19:57.731
3525|27021597764230742|2020-04-06 13:48:57.401
678|28428972647777707|2020-04-11 08:36:58.794
1099511628733|29273397577910289|2020-04-14 16:12:42.864
1099511630408|29554872554624687|2020-04-15 14:36:00.276
1882|30399297484754975|2020-04-18 22:46:24.34
237|30962247438172666|2020-04-20 06:20:25.717
1358|31243722414885760|2020-04-21 19:42:01.437
1221|31525197391596117|2020-04-22 19:21:42.012
870|32369622321727300|2020-04-25 23:28:43.006
3345|33495522228575425|2020-04-29 14:30:18.666
1099511629394|33776997205282236|2020-04-30 03:28:18.762
1099511631257|34339947158707696|2020-05-02 17:19:30.55
2910|34621422135417098|2020-05-03 15:32:24.2
