loanId|accountId|amount|createTime
4649966615260037582|4650248090236748534|1513561.06|2020-05-28 01:29:40.132
4648277765399781673|4644900065679259125|22651105.12|2020-07-15 08:31:24.359
4648277765399781673|4644900065679259125|8204294.97|2020-07-26 15:07:01.12
4659536764468204276|4672203138420186933|3444026.75|2020-08-18 11:48:47.845
4673047563350313854|4674454938233869078|12511236.83|2020-08-18 12:09:40.663
4644055640749119884|4662632989212027361|2315477.49|2020-08-20 01:20:28.469
58828270132530452|50384020831212861|73282351.17|2020-08-28 12:17:51.888
58265320179108839|67553994410562338|26925540.02|2020-08-28 23:13:12.835
4678114112931106484|4682054762605058010|2205854.41|2020-09-08 21:35:08.319
4676706738047552204|4666855113862681024|143872.03|2020-09-10 12:43:52.974
4654188739910697745|4673047563350312168|45835362.23|2020-09-11 15:51:56.012
49539595901080550|34902897112129778|30183529.3|2020-09-13 04:48:40.379
4650811040190176265|4657003489677815259|899855.97|2020-09-25 12:09:03.195
4676988213024263143|4676988213024265124|26654538.68|2020-09-28 21:25:54.88
4637863191261487997|4668262488746244544|58422352.82|2020-10-03 23:50:43.675
4619848792752006773|4680084437768093337|1285591.07|2020-10-08 13:44:03.894
4669106913676371097|4664040364095585202|2085440.05|2020-10-08 19:44:36.464
4646588915539517383|4651092515166893002|3688371.98|2020-10-08 21:04:14.554
4655596114794251858|4647714815446354490|24559227.25|2020-10-10 11:49:49.576
58828270132530452|21955048183436604|695064.87|2020-10-16 13:55:13.317
4666292163909259320|4671921663443475056|10377793.27|2020-10-16 17:01:13.659
4647151865492933421|4655033164840833666|309662.39|2020-10-19 16:24:24.604
79938893385827118|26740122787513610|9760642.52|2020-10-20 08:14:20.061
34621422135414597|60235645016086787|41258.94|2020-10-21 17:38:15.745
19703248369749546|34902897112127232|2179627.39|2020-10-26 05:51:46.534
38280596832652348|72902018968064952|5932064.47|2020-10-30 11:22:36.889
4674736413210577809|4667699538792813351|64176835.7|2020-10-31 23:50:06.442
4680365912744793357|4693313761673486921|32560956.18|2020-11-03 10:50:30.036
4641803840935429482|4693876711626901728|3485.6|2020-11-07 11:54:22.829
76279718688588908|58828270132528876|166466.11|2020-11-07 19:00:42.77
26740122787513742|85568392920041646|21512384.79|2020-11-11 00:36:01.471
4654188739910704538|4655596114794262615|545030.5|2020-11-12 02:25:00.007
4660099714421631460|4637863191261496328|37370342.36|2020-11-16 11:59:16.045
4694158186603613834|4675580838140712859|139331.79|2020-11-19 21:11:18.213
41376821576469994|29554872554624687|15521783.3|2020-11-21 15:39:53.037
67835469387269720|62205969853057560|3334783.28|2020-11-22 14:47:22.363
