accountId|loanId|amount|createTime
4632515166703984250|4651092515166884495|11295783.77|2020-06-20 23:32:12.653
34902897112129778|49539595901080550|31442242.52|2020-06-27 18:45:49.187
28428972647777707|24769797950538634|30620824.78|2020-07-03 18:13:51.85
31243722414885760|30117822508042071|31500108.86|2020-07-28 17:46:07.227
28428972647777707|24769797950538634|24118859.28|2020-07-31 20:53:55.997
29554872554624687|41376821576469994|37330073.46|2020-08-18 15:23:35.392
34902897112129778|49539595901080550|852161.39|2020-08-26 20:25:35.183
39687971716207751|59954170039372975|939347.2|2020-08-28 06:22:43.466
4674454938233869078|4678395587907816316|26084648.24|2020-08-28 14:49:15.023
4673047563350312168|4654188739910697745|78000.85|2020-08-29 00:42:54.267
56294995342131494|60798594969501870|18561538.3|2020-08-29 07:16:20.865
4644900065679259125|4648277765399781673|2783852.58|2020-08-30 19:56:22.61
4655033164840833666|4647151865492933421|424810.71|2020-09-01 03:07:26.306
69524319247536953|48695170970946544|1130819.52|2020-09-06 22:47:20.714
4642366790888860109|4669951338606500214|1344373.88|2020-09-16 22:21:44.242
47287796087390269|23080948090273828|917608.57|2020-09-20 10:18:21.344
69524319247533791|74590868828324966|54638661.34|2020-09-23 00:09:40.415
4676988213024265124|4676988213024263143|26832977.47|2020-09-30 07:12:25.767
4673047563350312168|4654188739910697745|30445348.56|2020-09-30 15:05:35.132
4668262488746244544|4637863191261487997|750693.66|2020-10-03 08:51:44.625
76561193665302340|67553994410559891|49359420.78|2020-10-10 03:37:54.084
72902018968064952|38280596832652348|1159801.59|2020-10-10 17:37:22.768
4683743612465329131|4638426141214908381|2220891.5|2020-10-13 18:28:22.818
4691061961859808452|4685150987348878653|12279.57|2020-10-16 08:04:29.134
70087269200955434|74309393851614507|43308086.47|2020-10-19 15:32:18.838
4639552041121757676|4691624911813223320|20141247.24|2020-10-19 19:46:10.311
47287796087393004|69524319247533812|75371.22|2020-10-21 23:48:25.876
4671921663443475056|4631952216750559286|11132463.25|2020-10-24 06:59:56.459
47569271064107484|54887620458581962|8006677.13|2020-10-26 18:15:18.834
4673047563350312168|4654188739910697745|1357795.81|2020-11-05 04:29:57.07
4644900065679259125|4648277765399781673|3624394.33|2020-11-08 14:11:28.616
4626604192193065254|4672484613396897304|188371.59|2020-11-09 13:38:11.886
4657566439631228866|4667699538792810916|10527.78|2020-11-10 05:57:28.157
4694439661580330733|4689373111999535000|652136.23|2020-11-12 12:31:45.686
31243722414885760|30117822508042071|11363669.55|2020-11-13 10:12:15.424
4633078116657404516|4692469336743350315|6245005.34|2020-11-13 16:51:43.278
60235645016086787|34621422135414597|1476016.98|2020-11-14 16:27:53.479
4672203138420186933|4659536764468204276|5192584.94|2020-11-20 17:20:35.547
4699787686137829231|4685432462325583467|93609.92|2020-11-25 20:34:13.878
60235645016086787|34621422135414597|80710.61|2020-11-26 06:43:03.101
4643774165772414426|4662914464188734472|15416407.44|2020-11-27 03:02:41.442
29554872554624687|41376821576469994|54049263.0|2020-11-29 16:21:16.718
4683180662511910517|4682336237581772370|37735958.75|2020-12-01 22:47:19.43
41376821576469208|32932572275148520|11940345.78|2020-12-02 07:08:37.237
52354345668189938|81627743246095056|6276519.87|2020-12-02 23:51:43.799
85568392920041646|26740122787513742|26846.7|2020-12-07 11:07:16.973
85568392920041646|26740122787513742|12014259.06|2020-12-08 16:38:05.438
4671921663443475056|4631952216750559286|14197571.27|2020-12-11 14:10:25.568
4697535886324141865|4695847036463876428|19306251.48|2020-12-11 22:56:49.971
67553994410562338|58265320179108839|25214102.28|2020-12-14 06:58:31.821
4671921663443475056|4666292163909259320|13800262.46|2020-12-16 05:22:04.266
4700069161114548865|4641522365958726642|6104419.61|2020-12-16 19:43:59.568
77968568548853092|74590868828324699|5231738.02|2020-12-16 20:54:56.179
58265320179114251|28710447624492025|8315217.82|2020-12-17 06:10:22.127
4674454938233869078|4687684262139267965|52556131.02|2020-12-23 09:28:50.966
39406496739500185|19421773393040300|65757.64|2021-01-01 01:37:37.066
4647714815446366538|4695565561487172383|22338441.19|2021-01-02 11:07:14.386
