g;;
v;Medium;createTime:string,id:long,isBlocked:boolean,lastLoginTime:string,riskLevel:string,type:string
v;Account;accountLevel:string,createTime:string,email:string,freqLoginType:string,id:long,isBlocked:boolean,lastLoginTime:string,nickname:string,phoneNumber:string,type:string
v;Company;business:string,city:string,country:string,createTime:string,description:string,id:long,isBlocked:boolean,name:string,url:string
v;Loan;balance:double,createTime:string,id:long,interestRate:double,loanAmount:double,usage:string
v;Person;birthday:string,city:string,country:string,createTime:string,gender:string,id:long,isBlocked:boolean,name:string
e;guarantee;SourceID:string,TargetID:string,relationship:string,timestamp:string
e;repay;SourceID:string,TargetID:string,amount:string,timestamp:string
e;invest;SourceID:string,TargetID:string,ratio:string,timestamp:string
e;signIn;SourceID:string,TargetID:string,location:string,timestamp:string
e;transfer;SourceID:string,TargetID:string,amount:double,comment:string,goodsType:string,ordernumber:string,payType:string,timestamp:string
e;withdraw;SourceID:string,TargetID:string,amount:string,timestamp:string
e;deposit;SourceID:string,TargetID:string,amount:string,timestamp:string
e;own;SourceID:string,TargetID:string,timestamp:string
e;apply;SourceID:string,TargetID:string,organization:string,timestamp:string
